cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;p1;p2;p3;p4;p5;p6;mojo;evals;tempo
5;jscatterplot 74C.odem;74;-1.5;2.0;0.5;-2.5;-1.0;-2.5;2; 9; 6; 0; 3; 0;100.0;6787;2240305 ms
3;udt-java 56C.odem;56;-2.0;0.0;2.0;-2.5;-0.5;-0.5;1; 5; 9; 0; 4; 4;96.08;15003;2257892 ms
7;jxls-core 83C.odem;83;0.5;-0.5;0.5;1.0;0.5;0.0;6; 4; 6; 7; 6; 5;100.0;2204;944664 ms
2;javaocr 59C.odem;59;-1.5;0.0;-0.5;0.0;-1.5;-2.5;2; 5; 4; 5; 2; 0;94.23;15001;2523409 ms
2;jxls-core 83C.odem;83;1.0;-1.0;0.5;1.0;0.5;2.0;7; 3; 6; 7; 6; 9;100.0;5746;2554334 ms
1;jml 270C.odem;270;2.0;0.5;0.5;2.0;1.0;0.0;9; 6; 6; 9; 7; 5;100.0;173;2563679 ms
0;pfcda_base 67C.odem;67;2.5;1.0;0.0;2.0;2.5;0.5;10; 7; 5; 9; 10; 6;100.0;10802;2561216 ms
6;javaocr 59C.odem;59;2.5;0.0;-1.0;2.5;0.5;-1.5;10; 5; 3; 10; 6; 2;96.08;15005;2481024 ms
8;jscatterplot 74C.odem;74;-1.0;1.0;-0.5;-2.0;-1.0;0.0;3; 7; 4; 1; 3; 5;100.0;2069;637997 ms
5;JMetal 190C.odem;190;2.5;0.5;0.0;1.5;2.0;0.5;10; 6; 5; 8; 9; 6;100.0;531;2732270 ms
7;javaocr 59C.odem;59;2.5;-1.5;0.0;2.5;1.0;-0.5;10; 2; 5; 10; 7; 4;94.23;15004;2505573 ms
4;jscatterplot 74C.odem;74;2.5;-0.5;0.0;2.0;1.0;-0.5;10; 4; 5; 9; 7; 4;100.0;8676;2812583 ms
8;javaocr 59C.odem;59;2.0;0.5;0.0;1.5;1.0;0.0;9; 6; 5; 8; 7; 5;100.0;13777;2284370 ms
6;servletapi-2.3 63C.odem;63;1.5;-1.5;-0.5;1.0;0.5;0.5;8; 2; 4; 7; 6; 6;100.0;14981;2848065 ms
5;servletapi-2.3 63C.odem;63;-2.0;0.0;0.0;-1.5;-1.5;-2.5;1; 5; 5; 2; 2; 0;93.1;15001;2890898 ms
4;pfcda_swing 252C.odem;252;0.5;-0.5;1.0;2.0;0.5;0.5;6; 4; 7; 9; 6; 6;100.0;240;2899498 ms
1;servletapi-2.3 63C.odem;63;-2.5;0.0;0.5;-1.5;-1.5;-1.0;0; 5; 6; 2; 2; 3;93.1;15002;2900642 ms
8;forms-1.3.0 68C.odem;68;2.5;0.5;-0.5;1.5;1.5;0.0;10; 6; 4; 8; 8; 5;100.0;11785;2907875 ms
1;jscatterplot 74C.odem;74;-2.0;2.0;1.0;-2.5;-1.5;-1.5;1; 9; 7; 0; 2; 2;100.0;9708;3092314 ms
0;jfluid-1.7.0 82C.odem;82;-1.5;-1.0;0.5;-2.0;-1.5;1.0;2; 3; 6; 1; 2; 7;100.0;7371;3167984 ms
3;forms-1.3.0 68C.odem;68;0.5;0.0;0.0;1.0;1.0;0.5;6; 5; 5; 7; 7; 6;100.0;12829;3208609 ms
8;jfluid-1.7.0 82C.odem;82;0.5;0.0;1.0;1.5;1.0;0.5;6; 5; 7; 8; 7; 6;100.0;3589;1475229 ms
1;pfcda_base 67C.odem;67;2.0;0.0;-1.0;1.0;0.5;-0.5;9; 5; 3; 7; 6; 4;100.0;14277;3297047 ms
2;pfcda_base 67C.odem;67;-2.0;-0.5;1.0;-1.5;-0.5;-1.5;1; 4; 7; 2; 4; 2;91.53;15002;3450466 ms
9;jxls-core 83C.odem;83;1.0;0.0;0.0;2.5;1.0;-0.5;7; 5; 5; 10; 7; 4;100.0;2430;964153 ms
0;jxls-core 83C.odem;83;2.5;-0.5;-0.5;2.5;1.0;0.0;10; 4; 4; 10; 7; 5;100.0;8011;3484948 ms
9;jscatterplot 74C.odem;74;-1.0;0.0;0.0;-2.5;-1.5;-1.0;3; 5; 5; 0; 2; 3;100.0;4264;1265400 ms
5;pfcda_base 67C.odem;67;-1.5;0.0;0.5;-1.5;-1.0;0.0;2; 5; 6; 2; 3; 5;91.53;15005;3505961 ms
2;jfluid-1.7.0 82C.odem;82;-1.0;0.0;-1.0;-2.0;-2.0;0.0;3; 5; 3; 1; 1; 5;100.0;9647;4036001 ms
0;jkaryoscope 136C.odem;136;1.5;0.0;-0.5;2.0;1.5;1.0;8; 5; 4; 9; 8; 7;100.0;2308;4210258 ms
7;jscatterplot 74C.odem;74;0.5;-2.5;0.0;2.5;1.0;0.5;6; 0; 5; 10; 7; 6;100.0;12184;3662345 ms
7;pfcda_base 67C.odem;67;1.0;0.5;0.0;1.5;1.0;-1.0;7; 6; 5; 8; 7; 3;91.53;15005;3251522 ms
3;jscatterplot 74C.odem;74;-0.5;2.0;0.0;1.0;-2.5;-1.0;4; 9; 5; 7; 0; 3;98.61;15002;4540042 ms
8;pfcda_base 67C.odem;67;2.5;0.5;0.5;2.0;1.5;0.0;10; 6; 6; 9; 8; 5;100.0;13266;2757228 ms
4;jxls-core 83C.odem;83;1.5;0.5;1.5;2.0;1.0;0.5;8; 6; 8; 9; 7; 6;100.0;11382;4756350 ms
9;pfcda_base 67C.odem;67;2.0;0.5;1.0;2.0;2.0;0.5;9; 6; 7; 9; 9; 6;100.0;11382;2317306 ms
8;jxls-core 83C.odem;83;1.0;0.0;0.5;2.0;0.5;0.0;7; 5; 6; 9; 6; 5;100.0;7406;2848125 ms
1;xmlapi 184C.odem;184;1.5;0.5;0.5;1.5;1.0;0.0;8; 6; 6; 8; 7; 5;100.0;1260;5182661 ms
2;jpassword 269C.odem;269;1.5;0.5;-1.5;1.5;1.0;1.5;8; 6; 2; 8; 7; 8;100.0;374;5335239 ms
1;jfluid-1.7.0 82C.odem;82;0.5;0.0;1.5;1.0;0.5;-0.5;6; 5; 8; 7; 6; 4;100.0;13764;5505191 ms
5;JPassword 96C.odem;96;2.0;0.5;-1.5;2.0;1.0;-0.5;9; 6; 2; 9; 7; 4;100.0;9305;5818081 ms
0;javacc 154C.odem;154;2.5;0.0;0.0;1.0;0.5;1.0;10; 5; 5; 7; 6; 7;100.0;2263;5884514 ms
2;javaws 378C.odem;378;2.0;0.0;1.0;1.5;0.5;1.0;9; 5; 7; 8; 6; 7;100.0;176;6215039 ms
6;JPassword 96C.odem;96;2.5;0.5;-0.5;2.0;0.5;0.5;10; 6; 4; 9; 6; 6;100.0;7528;4433577 ms
1;xmldom 119C.odem;119;2.0;0.0;-0.5;2.0;1.0;-0.5;9; 5; 4; 9; 7; 4;100.0;6419;6827355 ms
1;junit-3.8.1 100C.odem;100;2.5;0.0;0.0;1.0;0.5;0.0;10; 5; 5; 7; 6; 5;100.0;10131;6845473 ms
6;jxls-core 83C.odem;83;2.0;0.5;0.0;2.5;1.5;1.5;9; 6; 5; 10; 8; 8;90.91;15004;5755973 ms
9;jfluid-1.7.0 82C.odem;82;1.5;-1.0;0.0;2.5;1.0;-0.5;8; 3; 5; 10; 7; 4;98.75;15003;5523784 ms
5;jpassword 269C.odem;269;2.5;-0.5;0.5;1.0;1.0;1.5;10; 4; 6; 7; 7; 8;100.0;601;7871477 ms
4;xmlapi 184C.odem;184;2.0;-0.5;0.0;1.5;0.5;0.5;9; 4; 5; 8; 6; 6;100.0;2121;8313903 ms
4;jtreeview 329C.odem;329;0.5;0.5;0.5;2.0;2.0;-0.5;6; 6; 6; 9; 9; 4;100.0;361;8385090 ms
3;pfcda_swing 252C.odem;252;2.0;0.5;-1.0;2.0;1.0;1.5;9; 6; 3; 9; 7; 8;100.0;766;8427795 ms
2;JPassword 96C.odem;96;1.0;0.0;1.5;2.5;1.0;0.5;7; 5; 8; 10; 7; 6;100.0;14351;8550002 ms
3;xmldom 119C.odem;119;1.0;0.0;-0.5;2.0;1.0;-1.5;7; 5; 4; 9; 7; 2;100.0;8314;8634395 ms
9;JPassword 96C.odem;96;0.5;-0.5;0.5;1.5;1.5;-0.5;6; 4; 6; 8; 8; 4;100.0;611;325666 ms
3;JPassword 96C.odem;96;-0.5;0.5;-2.0;-1.5;-1.0;-1.0;4; 6; 1; 2; 3; 3;95.51;15001;8903007 ms
2;tinytim 134C.odem;134;1.0;0.5;0.0;2.0;1.5;-0.5;7; 6; 5; 9; 8; 4;100.0;5528;8930930 ms
0;JPassword 96C.odem;96;1.0;-2.0;2.5;2.5;0.5;-0.5;7; 1; 10; 10; 6; 4;93.18;15006;8943201 ms
4;JPassword 96C.odem;96;-2.0;1.0;0.0;-1.5;-1.0;-0.5;1; 7; 5; 2; 3; 4;95.51;15007;8959832 ms
1;gae_plugin_core 140C.odem;140;-2.5;0.0;0.0;-2.0;-1.0;0.5;0; 5; 5; 1; 3; 6;100.0;5141;9210209 ms
2;junit-3.8.1 100C.odem;100;1.5;0.0;0.0;1.0;0.5;0.5;8; 5; 5; 7; 6; 6;100.0;14453;9446711 ms
3;javacc 154C.odem;154;0.5;0.0;0.0;2.0;1.0;0.5;6; 5; 5; 9; 7; 6;100.0;3881;9544721 ms
6;jml 270C.odem;270;1.0;1.5;1.0;2.5;1.5;1.0;7; 8; 7; 10; 8; 7;100.0;573;7043223 ms
5;junit-3.8.1 100C.odem;100;-1.5;2.5;-1.5;-2.0;-1.5;-0.5;2; 10; 2; 1; 2; 4;95.74;15001;9749769 ms
4;junit-3.8.1 100C.odem;100;-1.5;-1.5;-2.5;0.5;-2.0;-2.0;2; 2; 0; 6; 1; 1;95.7;15005;9774233 ms
3;junit-3.8.1 100C.odem;100;1.0;0.0;0.0;2.5;1.0;1.5;7; 5; 5; 10; 7; 8;96.81;15004;9794098 ms
0;junit-3.8.1 100C.odem;100;-2.0;0.0;-2.0;-1.0;-0.5;-0.5;1; 5; 1; 3; 4; 4;94.68;15006;9808096 ms
