cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;n7;n8;p1;p2;p3;p4;p5;p6;p7;p8;mojo;evals;tempo
3;jfluid-1.7.0 82C.odem;82;-2.5;2.5;0.0;-2.0;-1.5;-2.0;2.0;-0.5;0; 10; 5; 1; 2; 1; 9; 4;98.75;4003;1622257 ms
0;jfluid-1.7.0 82C.odem;82;-0.5;0.5;1.5;-0.5;-2.0;1.0;0.0;-1.0;4; 6; 8; 4; 1; 7; 5; 3;96.25;4002;1625681 ms
1;jfluid-1.7.0 82C.odem;82;2.5;-2.5;1.0;2.0;1.0;2.5;0.5;2.5;10; 0; 7; 9; 7; 10; 6; 10;97.5;4001;1632256 ms
2;jfluid-1.7.0 82C.odem;82;2.5;-1.0;2.0;-2.0;0.5;1.5;-2.5;2.5;10; 3; 9; 1; 6; 8; 0; 10;97.5;4005;1635264 ms
2;jxls-core 83C.odem;83;2.0;0.0;0.0;0.5;-1.5;2.5;2.5;2.5;9; 5; 5; 6; 2; 10; 10; 10;84.42;4009;1687746 ms
0;jxls-core 83C.odem;83;2.5;-0.5;2.0;0.5;-2.0;2.5;2.0;2.0;10; 4; 9; 6; 1; 10; 9; 9;75.0;4004;1689939 ms
3;jxls-core 83C.odem;83;2.0;0.0;-1.5;-1.0;0.0;1.0;0.5;2.0;9; 5; 2; 3; 5; 7; 6; 9;72.73;4009;1694597 ms
1;jxls-core 83C.odem;83;-2.5;2.5;-2.5;1.0;-2.0;-2.5;1.5;-1.5;0; 10; 0; 7; 1; 0; 8; 2;69.74;4004;1698656 ms
4;jxls-core 83C.odem;83;2.0;-0.5;0.0;1.0;2.5;2.5;2.0;0.5;9; 4; 5; 7; 10; 10; 9; 6;82.67;4009;1704474 ms
6;pfcda_base 67C.odem;67;0.5;-2.5;2.5;-1.5;0.0;2.0;2.0;-2.0;6; 0; 10; 2; 5; 9; 9; 1;79.69;4006;852750 ms
7;pfcda_base 67C.odem;67;1.0;-1.5;1.5;0.0;2.0;1.5;-0.5;0.0;7; 2; 8; 5; 9; 8; 4; 5;80.33;4006;850376 ms
8;pfcda_base 67C.odem;67;-1.5;0.0;0.5;-1.0;-1.5;-2.5;-1.0;0.5;2; 5; 6; 3; 2; 0; 3; 6;90.0;4007;854157 ms
4;JMetal 190C.odem;190;2.5;0.0;0.0;0.0;2.0;1.5;-0.5;0.5;10; 5; 5; 5; 9; 8; 4; 6;100.0;369;1778432 ms
9;pfcda_base 67C.odem;67;0.5;-1.5;-1.5;-2.0;0.5;1.0;2.0;-1.5;6; 2; 2; 1; 6; 7; 9; 2;76.56;4003;865351 ms
6;forms-1.3.0 68C.odem;68;1.0;1.0;1.5;-2.5;2.0;1.5;-1.0;1.5;7; 7; 8; 0; 9; 8; 3; 8;95.45;4002;885829 ms
5;forms-1.3.0 68C.odem;68;2.0;0.0;0.5;0.0;0.0;0.5;1.0;1.0;9; 5; 6; 5; 5; 6; 7; 7;96.92;4005;898916 ms
7;forms-1.3.0 68C.odem;68;2.0;-0.5;1.5;-2.5;1.0;1.5;-2.0;2.5;9; 4; 8; 0; 7; 8; 1; 10;96.92;4004;897607 ms
