version	package	cbo	aff	eff	lcom	mf	cs
7.3.0	ch.randelshofer.quaqua.leopard	7	1	23	0.9301994301994302	0.5975609756097561	-291
7.3.0	ch.randelshofer.quaqua.leopard.filechooser	6	2	15	0.8351648351648352	0.6593406593406593	-51
7.3.0	ch.randelshofer.quaqua.osx	4	21	8	1.0	0.0	-10
7.3.0	ch.randelshofer.quaqua.panther	7	0	25	0.9521276595744681	0.7346938775510204	-996
7.3.0	ch.randelshofer.quaqua.panther.filechooser	6	4	14	0.8461538461538461	0.5714285714285714	-48
7.3.0	ch.randelshofer.quaqua.snow_leopard	5	0	11	1.0	0.0	-1
7.3.0	ch.randelshofer.quaqua.snow_leopard.filechooser	2	0	2	NaN	0.0	0
7.3.0	ch.randelshofer.quaqua.subset	3	0	5	0.6666666666666666	0.5333333333333333	-2
7.3.0	ch.randelshofer.quaqua.tiger	3	0	6	0.8333333333333334	0.2222222222222222	-2
7.3.0	ch.randelshofer.quaqua.tiger.filechooser	1	0	1	NaN	0.0	0
7.3.0	ch.randelshofer.quaqua.util	4	102	7	0.973015873015873	0.2982456140350877	-588
7.3.0	net.n3.nanoxml	0	2	0	0.8916666666666667	0.935251798561151	-174
7.3.0	net.roydesign.app	1	1	1	0.7619047619047619	0.6451612903225806	-9
7.3.0	net.roydesign.event	0	3	0	NaN	0.0	0
7.3.0	net.roydesign.io	1	1	1	0.6666666666666666	0.5	-1
7.3.0	net.roydesign.mac	1	18	1	0.8833333333333333	0.8376068376068376	-136
7.3.0	net.roydesign.ui	2	0	2	0.9238095238095239	0.7804878048780488	-81
7.3.0	org.apache.batik.ext.awt	1	2	1	0.4666666666666667	0.7804878048780488	13
7.3.0	org.apache.batik.ext.awt.image	0	1	0	NaN	0.0	0
7.3.0	org.jhotdraw.app	7	59	38	0.8804347826086957	0.44	-172
7.3.0	org.jhotdraw.app.action	8	9	18	0.980325644504749	0.4142857142857143	-2101
7.3.0	org.jhotdraw.beans	0	37	0	0.9166666666666666	0.047619047619047616	-4
7.3.0	org.jhotdraw.draw	11	76	46	0.9741959798994975	0.7771471812334468	-18042
7.3.0	org.jhotdraw.draw.action	8	4	37	0.971830985915493	0.49645390070921985	-2285
7.3.0	org.jhotdraw.geom	0	57	0	0.8681318681318682	0.32	-53
7.3.0	org.jhotdraw.gui	5	35	12	0.9264069264069265	0.53125	-195
7.3.0	org.jhotdraw.gui.datatransfer	1	7	1	0.9107142857142857	0.5555555555555556	-18
7.3.0	org.jhotdraw.gui.event	3	20	10	0.8333333333333334	0.046511627906976744	-1
7.3.0	org.jhotdraw.gui.fontchooser	1	4	1	0.7380952380952381	0.6111111111111112	-5
7.3.0	org.jhotdraw.gui.plaf	0	2	0	NaN	0.0	0
7.3.0	org.jhotdraw.gui.plaf.palette	5	2	11	0.8846153846153846	0.6885245901639344	-57
7.3.0	org.jhotdraw.io	0	9	0	0.6666666666666666	0.47058823529411764	-2
7.3.0	org.jhotdraw.samples.draw	9	0	84	0.8626373626373627	0.21551724137931033	-55
7.3.0	org.jhotdraw.undo	1	11	1	0.65	0.4827586206896552	-2
7.3.0	org.jhotdraw.util	0	129	0	0.95	0.014492753623188406	-8
7.3.0	org.jhotdraw.util.prefs	0	5	0	0.7	0.782608695652174	-5
7.3.0	org.jhotdraw.xml	2	27	8	0.7380952380952381	0.24444444444444444	1
7.3.1	ch.randelshofer.quaqua	8	92	41	0.9913884113051609	0.8019662921348315	-32331
7.3.1	ch.randelshofer.quaqua.border	2	25	4	0.946969696969697	0.25925925925925924	-58
7.3.1	ch.randelshofer.quaqua.color	2	29	2	0.9047619047619048	0.1509433962264151	-15
7.3.1	ch.randelshofer.quaqua.colorchooser	1	2	4	0.9753086419753086	0.9479768786127167	-3091
7.3.1	ch.randelshofer.quaqua.datatransfer	0	1	0	0.8	0.8	-2
7.3.1	ch.randelshofer.quaqua.ext.base64	0	3	0	0.3333333333333333	0.7272727272727273	1
7.3.1	ch.randelshofer.quaqua.ext.batik.ext.awt	1	2	1	0.8333333333333334	0.9361702127659575	-28
7.3.1	ch.randelshofer.quaqua.ext.batik.ext.awt.image	3	10	10	0.906896551724138	0.8901098901098901	-325
7.3.1	ch.randelshofer.quaqua.ext.batik.ext.awt.image.codec.tiff	2	3	5	0.7857142857142857	0.5625	-3
7.3.1	ch.randelshofer.quaqua.ext.batik.ext.awt.image.codec.util	1	7	1	0.75	0.6363636363636364	-6
7.3.1	ch.randelshofer.quaqua.ext.batik.ext.awt.image.renderable	0	1	0	NaN	0.0	0
7.3.1	ch.randelshofer.quaqua.ext.batik.ext.awt.image.rendered	2	2	7	0.895	0.8181818181818182	-190
7.3.1	ch.randelshofer.quaqua.ext.batik.i18n	0	1	0	0.6666666666666666	0.8	1
7.3.1	ch.randelshofer.quaqua.ext.batik.util	0	6	0	0.7678571428571429	0.7428571428571429	-12
7.3.1	ch.randelshofer.quaqua.ext.nanoxml	0	4	0	0.5	0.2222222222222222	1
7.3.1	ch.randelshofer.quaqua.filechooser	3	43	8	0.895	0.5338983050847458	-206
7.3.1	ch.randelshofer.quaqua.icon	2	1	2	0.9047619047619048	0.42105263157894735	-13
7.3.1	ch.randelshofer.quaqua.jaguar	4	1	19	0.9283333333333333	0.6466165413533834	-252
7.3.1	ch.randelshofer.quaqua.jaguar.filechooser	1	0	1	NaN	0.0	0
7.3.1	ch.randelshofer.quaqua.leopard	7	1	23	0.9301994301994302	0.5975609756097561	-291
7.3.1	ch.randelshofer.quaqua.leopard.filechooser	6	2	15	0.8351648351648352	0.6593406593406593	-51
7.3.1	ch.randelshofer.quaqua.osx	4	22	8	1.0	0.0	-10
7.3.1	ch.randelshofer.quaqua.panther	7	0	25	0.9521276595744681	0.7346938775510204	-996
7.3.1	ch.randelshofer.quaqua.panther.filechooser	6	4	14	0.8461538461538461	0.5714285714285714	-48
7.3.1	ch.randelshofer.quaqua.snow_leopard	5	0	11	1.0	0.0	-1
7.3.1	ch.randelshofer.quaqua.snow_leopard.filechooser	2	0	2	NaN	0.0	0
7.3.1	ch.randelshofer.quaqua.subset	3	0	5	0.6666666666666666	0.5333333333333333	-2
7.3.1	ch.randelshofer.quaqua.tiger	3	0	6	0.8333333333333334	0.2222222222222222	-2
7.3.1	ch.randelshofer.quaqua.tiger.filechooser	1	0	1	NaN	0.0	0
7.3.1	ch.randelshofer.quaqua.util	4	102	7	0.973015873015873	0.2982456140350877	-588
7.3.1	net.n3.nanoxml	0	2	0	0.8916666666666667	0.935251798561151	-174
7.3.1	net.roydesign.app	1	1	1	0.7619047619047619	0.6451612903225806	-9
7.3.1	net.roydesign.event	0	3	0	NaN	0.0	0
7.3.1	net.roydesign.io	1	1	1	0.6666666666666666	0.5	-1
7.3.1	net.roydesign.mac	1	18	1	0.8833333333333333	0.8376068376068376	-136
7.3.1	net.roydesign.ui	2	0	2	0.9238095238095239	0.7804878048780488	-81
7.3.1	org.apache.batik.ext.awt	1	2	1	0.4666666666666667	0.7804878048780488	13
7.3.1	org.apache.batik.ext.awt.image	0	1	0	NaN	0.0	0
7.3.1	org.jhotdraw.app	7	59	38	0.8804347826086957	0.44	-172
7.3.1	org.jhotdraw.app.action	8	9	18	0.980325644504749	0.4142857142857143	-2101
7.3.1	org.jhotdraw.beans	0	37	0	0.9166666666666666	0.047619047619047616	-4
7.3.1	org.jhotdraw.draw	11	76	46	0.9743532338308458	0.777526395173454	-18236
7.3.1	org.jhotdraw.draw.action	8	4	37	0.971830985915493	0.49645390070921985	-2285
