year	author	classes	packages
2002	spestov	1	1
2002	spestov	1	1
2002	N/A	1	1
2002	sjakob	7	1
2002	svu	5	2
2002	spestov	8	3
2002	spestov	8	3
2002	spestov	5	2
2002	spestov	5	2
2002	dmoebius	11	3
2002	svu	15	4
2002	dmoebius	6	3
2002	akaplan	1	1
2002	akaplan	2	1
2002	akaplan	2	1
2002	akaplan	2	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	14	4
2002	spestov	8	3
2002	spestov	8	3
2002	svu	1	1
2002	sjakob	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	N/A	1	1
2002	sjakob	2	1
2002	spestov	2	2
2002	spestov	2	2
2002	dmoebius	3	1
2002	spestov	6	4
2002	spestov	6	4
2002	spestov	2	2
2002	spestov	2	2
2002	svu	1	1
2002	svu	2	1
2002	brik	2	1
2002	spestov	1	1
2002	spestov	1	1
2002	kdrew	1	1
2002	kdrew	2	1
2002	kdrew	1	1
2002	kdrew	6	1
2002	akaplan	1	1
2002	akaplan	4	1
2002	spestov	1	1
2002	spestov	1	1
2002	akaplan	2	1
2002	spestov	2	2
2002	akaplan	1	1
2002	spestov	7	4
2002	spestov	7	4
2002	jgellene	5	1
2002	spestov	4	3
2002	spestov	4	3
2002	spestov	1	1
2002	spestov	6	4
2002	spestov	6	4
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	3	2
2002	svu	2	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	5	3
2002	spestov	5	3
2002	spestov	8	1
2002	spestov	3	2
2002	spestov	3	2
2002	sjakob	1	1
2002	N/A	1	1
2002	spestov	8	6
2002	spestov	8	6
2002	spestov	8	2
2002	spestov	8	2
2002	spestov	3	2
2002	spestov	3	2
2002	spestov	4	3
2002	spestov	4	3
2002	spestov	2	2
2002	spestov	2	2
2002	spestov	2	1
2002	spestov	2	1
2002	spestov	1	1
2002	spestov	1	1
2002	brik	1	1
2002	brik	3	1
2002	svu	11	4
2002	svu	1	1
2002	svu	2	1
2002	spestov	2	2
2002	spestov	2	2
2002	svu	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	12	3
2002	spestov	12	3
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	5	2
2002	spestov	5	2
2002	spestov	1	1
2002	spestov	3	2
2002	spestov	3	2
2002	spestov	2	1
2002	spestov	2	1
2002	spestov	3	2
2002	spestov	3	2
2002	spestov	8	4
2002	spestov	8	4
2002	spestov	1	1
2002	spestov	2	1
2002	spestov	2	1
2002	spestov	4	4
2002	spestov	4	4
2002	spestov	1	1
2002	spestov	1	1
2002	akaplan	12	1
2002	akaplan	10	2
2002	spestov	1	1
2002	spestov	1	1
2002	akaplan	1	1
2002	akaplan	2	1
2002	jgellene	3	1
2002	spestov	3	2
2002	spestov	3	2
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	svu	10	5
2002	spestov	1	1
2002	spestov	1	1
2002	greghmerrill	3	1
2002	greghmerrill	1	1
2002	spestov	2	2
2002	spestov	2	2
2002	greghmerrill	1	1
2002	spestov	1	1
2002	spestov	3	1
2002	spestov	4	1
2002	spestov	1	1
2002	spestov	18	3
2002	spestov	2	2
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	greghmerrill	1	1
2002	spestov	9	1
2002	spestov	9	1
2002	spestov	1	1
2002	spestov	2	1
2002	brik	4	1
2002	jgellene	2	1
2002	spestov	1	1
2002	spestov	4	3
2002	spestov	4	3
2002	brik	4	1
2002	brik	1	1
2002	brik	2	1
2002	brik	4	1
2002	spestov	3	1
2002	spestov	3	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	svu	9	3
2002	spestov	1	1
2002	spestov	2	2
2002	spestov	2	2
2002	spestov	2	1
2002	spestov	3	3
2002	spestov	3	3
2002	spestov	2	1
2002	spestov	6	4
2002	spestov	6	4
2002	brik	1	1
2002	svu	2	1
2002	brik	4	1
2002	akaplan	6	2
2002	akaplan	3	1
2002	akaplan	2	1
2002	akaplan	12	2
2002	akaplan	6	1
2002	akaplan	3	2
2002	akaplan	3	2
2002	akaplan	3	2
2002	akaplan	5	2
2002	akaplan	3	2
2002	akaplan	5	2
2002	akaplan	3	2
2002	akaplan	1	1
2002	akaplan	3	2
2002	akaplan	3	1
2002	akaplan	2	1
2002	akaplan	1	1
